,省,市,区,地址,adcode
26,山西省,太原市,尖草坪区,新城街办赵道峪村村民，今年村里突然要改造供暖了，原来村里是天然气区域集中供热，现在要给老百姓停集中供暖，让老百姓花钱买空气能自己供热，村民们都非常不理解 1.天然气区域供热改造成村民购买空气能供热符不符合煤改电的政策。 2.这样的改造势必造成原来供热设备和已经铺设的供热管网的巨大浪费，是不是存在村集体资产的巨大损失。 3.这样的改造给老百姓带来了很大的经济负担，赵道峪村里80%的村民依靠出租房屋收入过日子，这样的供暖改造需要村民付出很大的经济成本，如果只是改造100平米供热，冬天出租房屋的收入就没有了，这也是村民们最不能理解的。 4.村里现在集体经济非常差，但是某些领导不说帮村民提供好的服务和生财之道，不去想办法盘活村集体经济，多为村民谋福利，却想掏干榨尽村民口袋里可怜的过生活的钱，给村民增加不不必要的负担，这样的改造得不到村民的支持。 5.改造供暖的借口是村里管网老旧了，维护成本高了，但是太原市所有老旧管网的供热 请领导们给老百姓办点事，我们村民们的想法是把现有的供热管网做好维护，继续使用天然气区域供热，不要再给村民们增加改造供暖的经济负担,140108
27,,,,,
28,山西省,太原市,晋源区,箱子村房子，2018政府煤改气，我们享受了这一待遇挺好的，但冬天气价无补助，100平米取暖得5000~6000元，我们也认了，因为经济原因买的小产权，但近几月总停气，7~8月停了一月，我们多方求助才恢复供气，9月2日又停了，希望领导帮解决一下，另外明年看能否改集中供暖，恳切为盼，谢谢领导！,140110
29,山西省,太原市,小店区,学府雅园的一户居民，9月11日家中天然气突然停气，不存在欠费情况。多次拨打大营盘站点电话均无人接听，通过微信联系该公司在本小区对接人，均不回复。9月12日上午通过山西政务服务中心电话了解到96577这个24小时客服电话，拨打10余次均无人接听。太原天然气公司是涉及民生的国有企业，号称24小时便民服务热线成为摆设，请领导帮忙解决。,140105
30,,,,,
31,,,,,
32,,,,,
33,山西省,太原市,晋源区,晋源街办林语兰庭小区，自7月25日一来，一支停气至今。多次向12345反映，都没有准确的恢复供气的日期。一直说正在协调。不知道该向哪个部门反映，才能及时恢复供气，生活才能正常。希望领导尽快过问，帮助居民解决实际困难,140110
34,山西省,太原市,晋源区,林雨兰庭，无故被中燃停天然气快一个月了，多方诉求没结果，严重影响居民生活。帮帮我们,140110
35,,,,,
36,山西省,晋中市,榆次区,龙城金帝园，每到夏天小区停电可以说是家常便饭，小区已交房入住多年，但仍为临时用电，现物业更是决定限电，这已严重影响大家的正常生活，请领导百忙之中为小区住户解决生活基本问题,140702
37,,,,,
38,,,,,
39,,,,,
40,山西省,,,建投集团于龙城大街东延施工将我公司管线破坏。为安全考虑，已紧急停气，抢修。多次联系天然气公司，直到现在还在停气，无果，在7月22号发出通知正在研究，真诚的希望领导把此事尽快解决拜托了谢谢,140000
41,山西省,太原市,,建设南路79号的市建一公司宿舍，房子年限旧远，且符合改造要求，但截至目前迟迟未开始改造，小区道路不平，树木倒塌，房皮掉落，停水停 气时时发生，想咨询政府第一：该小区是否在今年改造范围内？第二如果属于范围内，何时动工。,140100
42,广西壮族自治区,贵港市,港北区,名人港湾小区供暖是天然气，冬天烧天然气不暖和不说，比大暖费用还要贵1000（冬季供暖 按98平米房子算）.而且停气频繁，重新烧更费气，能否考虑接通大暖，或者降低使用天热气供暖的小区费用，因为居民使用天然气烧暖气很贵啊！,450802
43,,,,,
44,山西省,太原市,晋源区,晋源街道办箱子村的村居民，因为箱子村解决不了中燃公司的故意停气。通过给中燃工作人员打电话，得知是故意停气，还要恶意涨价。导致严重影响我们的生活，希望刚到任的您能帮助我吗？实现没有办法才在此留言，希望您重点关注一下。,140110
45,山西省,太原市,晋源区,晋源街道办箱子村居民。因为箱子村解决不了中燃公司的故意停气，通过给中燃工作人员打电话得知是故意停气还要恶意涨价，导致严重影响我们的生活，希望刚到任的您能帮助我们。实在没有办法才在此留言，希望您能重点关注一下。,140110
46,,,,,
47,山西省,太原市,万柏林区,神堂沟街道黄坡西山壹号，最近是每天停水，已经严重影响正常生活保障，联系物业物业让联系自来水公司，联系自来水公司，人家让联系物业，现在就是互相踢皮球，没人管。水是平均两三天就停，电也是高压电隔两天有鸟窝就停电，天然气三年呀也不送，人们都是用煤气罐，危险很大，希望有关领导给解决一下，尤其是水，每天停水。家里就没法呆，都是老百姓，买一套房子，就是好几代人的积蓄。,140109
48,山西省,太原市,万柏林区,神堂沟街道西山壹号的一名业主，我投诉的是我们小区供水，和天然气，我们19年交房，从去年开始频繁停水，三天两头停已经影响了正常的生活，物业让我们联系自来水公司，自来水说不是他们问题，给12345热线打，那边只做登记就没有下文，万般无奈才在这留言，希望领导帮我们解决一下，另外这个小区还经常停电，天然气也不送，饭都没法做，请帮帮我们。谢谢。,140109
49,,,,,
50,,,,,
51,山西省,太原市,小店区,供热行业管理办公室。我所居住的太原市金峰帝景小区采用区域供热，供热单位为山西崇光合同能源管理有限公司，近四五年来供热温度不达标，且每年3月份停止供热。即便正常供热期间一直采用间歇性供暖，无法保证正常供热温度，近期号称取暖费用已经不够用于购买燃烧锅炉所用的天然气费用，低温供暖甚至停暖，现因温度过低无法居住。小区居民多次反应12345无果，望小店供热办予以协调解决问题！,140105
52,山西省,太原市,尖草坪区,太钢钢虹苑小区4—1—601住户，自春节以来，家里暖气不热，近几天完全停气，给热力公司和市政府热线打电话一星期了，至今没有任何答复和处理，尤其热力公司敷衍了事不作为，取暖是基本民生问题，希望韦书记百忙之中关注解决，谢谢！,140108
53,山西省,太原市,小店区,怡海花苑小区，小区长期以来冬季取暖问题得不到解决。小区周边没有集中供热管道，所以小区冬季的供暖靠采用天然气为燃料的区域供暖方式，由物业公司来负责供暖。供暖费用为6元/m2，供暖费用远远高于市政集中供热的3.6元/m2。但为了冬季取暖，我们每年都是按时缴纳全额供暖费用。但是，负责给小区供暖的物业公司（山西鑫汇源物业管理有限公司）在收取高额的供暖费用后，在供暖问题上，偷工减料，一天24小时只在晚上和早上供暖几个小时，其余时间均属于停炉停供状态，特别是每年一到3月1日，在距离供热期结束还有一个月的时候，就干脆全天停供，暖气费也不退。不管天气有多冷，物业公司多年来长此以往。物业公司的这种行为致使多数业主家中的温度都不能满足冬季正常生活需要，每年一到冬天，小区的业主苦不堪言。我们业主找物业，物业根本不理我们，物业照常该停炉停炉，该停暖停暖，根本不会有任何改善和变化。入住小区快10年了，所有给物业缴纳的各种费用，没有给过任何发票。原本这个片区的供暖是由区政府指定的山西崇光合同能源管理有限公司，也不知道因为什么在崇光供暖一年后，又成了物业来供，我们感觉生活得不到任何保障，也得不到任何帮助，请领导帮帮我们，帮我们解决物业管理的问题，解决我们的供暖问题。,140105
54,山西省,晋城市,阳城县,凤城镇下李丘村买了一套吴晋宇自建五层楼的一套，当时是2011年每平米一干二百元，一套房出了十一万元。其中还有六户都是从乡下来的，去年我们住的这里城中村改造拆迁，总负责人张学勤是付镇长，不求实际不为农民着想以拆迁为目的，不给我们安置回迁，只给退回前十几年前买房钱和装修费。现在房价上涨退上十来万根夲买不上房出去无家可归。我们不同意。项目部去年九月停了燃气我们不能做饭和取暖，十月停了自来水无法居住,140522
55,,,,,
56,广东省,汕尾市,城区,供暖承包给宏源供热公司，从供暖开始每月都要停两三回气，没有能力带动就不要承揽害人害己，这个冬天集中供暖费没有优惠，钱也全款交可供暖是时有时无，希望区委书记关注一下督促宏源供热叫老百姓过个温暖的冬天可以吗？,441502
57,山西省,长治市,,东站。如果又因为郑州站运力不够，至少至少可以将上海始发终到焦作的G1948延长过去，这个延长只占用太焦线运力一定是够的。铁路运输坚持公益属性，但我市可能的确在客观上客流量较少，如果需要的话，政府部门应该拿出合理的补贴，推动交通更加便捷，加强与苏南上海等地联系，对我市经济发展也将大有裨益。谢谢工作人员的回复。,140400
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,内蒙古自治区,呼和浩特市,赛罕区,前不塔气村居民，前不塔气村村委私自关停水房，导致现在好几万人都喝不上水，已经停水7天了。人们问网格员和打市政12345询问什么原因停水，7天了没有人回复。我们只能买水喝，或者去5公里以外的公园里提公园绿化的水喝。因为停水下水无法使用，现在街道上到处人们扔的脏垃圾（尿和粪便），现在的不塔气环境又差了。希望领导给解决下吃水问题。主要现在什么原因停的就没有人解答。 ,150105
65,内蒙古自治区,呼和浩特市,新城区,艺术厅北街日报社闻都小区7号楼，被停气5天，炎热的天气无法烧水，无法做饭。说是部分住户未安装自闭阀，私下一问未装自闭阀的邻居说是：燃气公司入户说有不合格的地方，那一项都得收费，打个孔要200元，不打扭头就走！,150102
66,内蒙古自治区,呼和浩特市,玉泉区,恒奥世纪华府小区属于市遗留项目，2020年10月开始可以办理入住，小区属于在建小区，物业费贵就不说啥了，三天两头不是停水就是停电的，过年也停，天阴下雨也停，刮风也停，不管怎么说，最起码的保证居民水和电和正常使用吧，因为没有天然气，停水和停电居民根本没法生活，还有就是电梯也是老出问题，老是电梯里困人，最大的诉求就是希望市长帮忙协调一下，保证电和水不要隔三差五的停就行，其它就不奢求了。,150104
67,内蒙古自治区,鄂尔多斯市,杭锦旗,浩绕柴达木2019年供气以来，始终不以人民为中心，全年不间断无故不提前告知停气数次，2022年1月至今已停气6次，每次停气不提前告知，导致许多居民做饭时饺子下锅里中途停气倒掉，严重浪费粮食，该问题年年反应月月反应，始终得不到良好的解决，孙书记能否挂牌督办此事，一次性解决。老百姓在此万分感谢您了。,150625
68,,,,,
69,内蒙古自治区,包头市,,昆区华发新城18栋102的业主，在今年1月30日(农历腊月28)下午4点家中突然停气，这可是春节徦期，经与工作人员多次沟通维护在1月31日(农历腊月30)上午9点来气，原因是服务后台操作错误！2月2日下午4点又一次断气！又经过沟通当晚10点供气，我家帐户上有足够的费用，是由于后台工作人员操作失误造成！春节期间两次断气严重影响我的正常生活！至今三个月企业没有道歉解释！没有认识到自身的问题！希望企业以后更好的服务！,150200
70,,,,,
71,内蒙古自治区,呼伦贝尔市,鄂伦春自治旗,大杨树镇天河小区居民，我们家里窗户都冻冰，家里白天有太阳还暖和点， 晚上屋里有17度 在家里穿羽绒服 ，把一周岁宝宝都冻感冒了， 和当地政府沟通多回没人管， 总是推脱不解决 ，冬天没事就修锅炉， 三天两头停气， 希望旗里领导能给解决。,150723
72,,,,,
73,辽宁省,锦州市,太和区,女儿河街道供暖存在经常停气的问题，尤其春节这几天气温下降很多，天寒地冻，几乎两天一停，群众反映始终得不到解决。供暖单位各种理由。盼望书记能过问此事，天冷了不能人心更冷！谢谢！,210711
74,辽宁省,大连市,,普兰店亿诚御景湾二期金马路76号楼,210200
75,辽宁省,本溪市,,广惠热力供暖隔三差五的停气，家里老人孩子都冻感冒了，现在本来就新冠病毒肆虐容易生病，尤其怕冷，还总停气！不能好好供暖建议换一个靠谱的供暖公司！,210500
76,辽宁省,沈阳市,大东区,文华园小区，由民营企业沈阳市盛天公司提供供暖服务，此供暖区域约居住三万多人，自上个采暖期开始此公司收了费不供暖，由惠天公司供暖。今年仍是如此此，但是最近先后出现两次惠天停供止供暖及减量供暖，造成十余天室内无气或不达标。其原因是盛天拒付惠天采暖费。为了避免再出现类似情况，我们强烈要求盛天把已收的采暖费退回用户，再由用户把采暖费直接交给惠天。这样以来就减少了扯皮事儿的发生。下图是现供暖参数,210104
77,,,,,
78,辽宁省,沈阳市,大东区,文华园小区，采暖公司跑路。给居民停气，现在屋里特别冷，不给解决,210104
79,辽宁省,大连市,西岗区,连平街新成巷54号楼的居民，华润天然气公司从2022年12月中旬对我们楼停气，至23年1月6日仍未恢复，总是通知来通气让家里留人，人就一直在家里等，一等等一天还不敢离家，好不容易等来人看一眼就要钱800-1000，乱收费，燃气公司明确表示是免费更换，但是燃气公司员工还是要钱，应付差事，上午照个面就再不见人。因为停气，已经影响到大家的生活和收入，希望能治理一下，让我们尽快通气，大家能过个好年。,210203
80,,,,,
81,辽宁省,大连市,甘井子区,周水子街道东北名苑小区天然气置换过程中监管缺失层层外包，施工人员到我家以管道漏气为借口逼我交400元测试打压费，我拒绝后给我家停气不予开阀，停气一周后因我投诉到华润燃气，2名工作人员再次来到我家声称只要交400元钱就可以马上开阀。因为一周没有给气无法做饭，在工作人员的威逼下就交了400元，随后就给我家开阀给气了。根本没有什么漏气一说，明抢强要。我要其开发票被告知他们就是施工人员没有发票。2022年5月我投诉到华润燃气后，一家声称为外包单位的男子来电话说：你不要投诉了，我们干活的都是临时工，我们也不知道是谁收你的400元，我们施工费太低了，他们要个喝酒钱也正常，要不是你家还要天天点外卖。随后多次投诉到华润天然气，答复让我等他们调查后再说。现在已经2023年了，华润天然气至今没有回复。,210211
82,,,,,
83,,,,,
84,辽宁省,丹东市,,新城区新世纪佳园B区停气4天了，什么高难的维修，4天修不好，现在室外温度－18度，家里像冰窟窿，什么时候能热？必须退费。,210600
85,,,,,
86,辽宁省,大连市,中山区,东港万隆托斯卡纳小区自12月18日下午起，整个小区天然气无故停供，数位业主几十次致电华润燃气客服及12345市民热线反映问题，投诉大连华润燃气无人负责，拖延处理，致燃气停供至今超过24小时，期间无主管部门受理，无人出面告知停供原因，更不知恢复供气时间，疫情冲关的关键时刻，居民日常三餐都难以为继，恳请市领导责成主管部门尽早介入，为小区居民解除困境。,210202
87,辽宁省,辽阳市,灯塔市,民此刻最关心的又可笑至极的温暖问题，尤其在这特殊时期！恳请政府为民做主！,211081
88,辽宁省,沈阳市,大东区,筑景新光小区，7号楼3单元7楼1号，已停气一周，修理管线没人管，天气越来越冷，家里有老人孩子天天冻着，现在疫情严重都在家，这样都给冻感冒了，医院现在也人满为患，想想后果严重请惠天供暖公司多为百姓着想，尽快解决问题，不要把事情搞严重了。,210104
89,辽宁省,大连市,甘井子区,中华路街道六合路74号 自8月10日接到天然气管道泄漏，停气通知到现在一直没有给恢复供气，投诉过12306，96177，投诉多了就干点活，然后一直推脱，天然气公司也给到过回复说12月中旬给维修好，现在只把孔打好了，希望有关部门帮忙催一下，马上过年了，希望有火做饭,210211
90,,,,,
91,,,,,
92,,,,,
93,辽宁省,本溪市,平山区,广裕路206栋，供暖不达标，经常停气，11月26日至今没有人给解决问题,210502
94,,,,,
95,辽宁省,抚顺市,,李石开发区合益供暖公司，这么多年暖气年年的找，就大年初二停气一天，大家集体半夜去省里找，热了两年，今年又玩完了，夏天暖气管改造，各种奇葩工程，进水回水管能接反，管线裸露，热也是商品，我们每年按时交款，为什么经常不给气！恳请领导在百忙之中过问此事！ ,210400
96,辽宁省,大连市,甘井子区,虹港路368号天然气施工！反复推脱，终于在11月份开始施工，施工的时候说一周结束，月底给气，现在已经月底了，不仅施工没有结束，通气更是遥遥无期！今天咨询华润燃气，不承认之前说的月底通气，说还需要审批。目前已经停气一个月了，大连今天已经下大雪了，这一个月我们没法开火做饭，望解决。,210211
97,辽宁省,辽阳市,白塔区,华御世家小区的业主，今年从11月开始，我们小区里经常停气半夜供暖不给气，我们需要开空调和电暖器供暖，多方投诉来人都是中午12点左右进屋测温，说达到18度就没问题，中午12点正是屋内温度最高的时候，到了晚上根本就没办法达到18度。我想知道的是供暖公司为什么不能换一家？红阳热力在辽阳已经有好多年了，每年都有投诉可是就一直不换？这个一直不换为什么不从根本上查一下原因呢？是我们交的取暖费不够煤钱吗？我们每家每个月多拿的电费，一共加起来也很多的呀,211002
98,,,,,
99,辽宁省,大连市,中山区,兴和街20号楼，在天然气置换后停气，事情已经三个多月了，每次向有关投诉都敷衍了事，至今没有解决。楼内老人居多，做饭很不方便，希望政府有关部门帮忙解决问题。,210202
100,,,,,
101,,,,,
102,,,,,
103,辽宁省,大连市,,高新区燕南街新新园小区、理工园小区2021年10月停气至今，期间，政府多次回复承诺工期，均为达成，起码区政府公信力已经将为0，只能求助于您，企盼解决。 21年9-10月全国几起火灾引人关注，政府高度关注民生安全，派督导组到各地检查，本人所在新新园小区因不符合规定，督导组下达断气决定，承诺21年12月完成燃气改造。但是专项督导毕竟是一时的，当初下达断气决断的领导怎么也不会想到这个决定会让千余户居民无气可用一年之久，期间几次通过政府热线反映，政府回访每次都承诺马上就会施工，从22年9月开始施工，到10月18日开始再到11月20日通气，等到的结果依然是遥遥无期。 临近过年，期盼省领导能在百忙之中关注下千户居民的生活问题，让我们能在过年前用上燃气，过年吃一顿热乎饺子！,210200
104,辽宁省,大连市,,甘区六和路74号及周边楼都是老旧楼，不明白当初天然气改造为什么这群楼不安外管天然气，竟然用原来的老煤气管。之前考察了？既然考察了用原来的旧煤气管道为什么现在那么多因为漏气而被停气的居民！74号三单位从8月10号因为一居民漏气而被停气，至今没有恢复！之前投诉到民心网后华润工程部门给我回的电话，告诉我这片楼不是工程部门干的，说是华润客服部派给其他部门或人做的，说客服部3天会给我回复，至今没人给我回复！停气现在三个多月没人管！96177投诉没人管！12345投诉没人管！辽宁民心网投诉也没人管！亲爱的书记呀，请帮帮我们吧！,210200
105,辽宁省,大连市,沙河口区,绿都园小区在更换天然气后停气已经三天，严重影响居民生活。 已经多次致电华润燃气96177，无任何回复。华润燃气工作态度敷衍了事，消极怠工，不作为！ 请市领导关注下居民吃饭问题。,210204
106,河北省,邢台市,沙河市,口营业部，工作人员称不是燃气公司的问题，只能看到欠费44.2，要求回家拍一张燃气表照片再来，不拍不给办。（前一天打电话燃气公司客服说，天然气现在是远程抄表的，已经有两年没人来家里抄表了，家里的表坏不坏会影响到每月计费吗？） 联合收费处，燃气公司，都说不是自己的问题，都不知道怎么处理，那老百姓就知道怎么处理了吗？我们拿着这1302.2的燃气单子我们该怎么办，不缴费过期停气影响正常生活，难道要交了如此巨额的燃气费吗？希望能够联系相关部门帮助我解决这件事情，希望联合收费处和燃气公司联手自查。,130582
107,辽宁省,沈阳市,皇姑区,宁山中路138-7号楼，供暖公司20号未冷态试运行，25号未进行热态试运行，10月31号暖气连气都没有，和夏天一个状态。11月1日开始供暖，11月5日上午暖气停供，暖气又进行夏天状态运行。供热投诉群里服务人员蛮横无理，威胁业主。,210105
108,,,,,
109,,,,,
110,辽宁省,沈阳市,铁西区,沈辽路黔灵湖街三隆世纪城A5 1-4-2号 现家里已停止供暖家里老人在家都穿羽绒服现在都这样寒冬腊月怎么办。供暖公司有什么权利不调查就停气至老百姓冷呢与不顾这样做法合理吗？请领导为我们老百姓主持公道,210106
111,,,,,
112,辽宁省,阜新市,细河区,政府，住建委等部门出面协调达成协议，在2022年缴纳取暖费时扣除停汽7天双倍费用！今年缴费时不按当时协议给予扣除！因此请领导为民做主，主持公道：相信党和政府会妥善处理民生保障问题！,210911
113,辽宁省,大连市,中山区,友好路105号1***房间，停气三个月，与华润联系多次无任何回复。严重影响民生，造成百姓经济损失。垦请领导过问此事，解决百姓疾苦。,210202
114,,,,,
115,辽宁省,大连市,沙河口区,沙跃街17号大院第七干休所居民，我们从九月二十六号到现在因为要安装天然气管道，被停了煤气，当时说十月六号就可以通天燃气，到今天二十天过去了还是也没有天然气。,210204
116,辽宁省,沈阳市,和平区,北三经街30号居民，我们楼从9月5日停燃气进行老旧小区官网改造，至今未恢复供气，多次拨打燃气公司客服电话未得到有效解决，投诉无门。燃气公司客服的恢复说楼下修车厂不同意进入施工但我院附近并没有修车厂，而且同一院内其他楼均已在9月27日前恢复供气。12345市民投诉热线说煤气公司10月8日给的回复是施工接近尾声正常打压近期可恢复供气。同是燃气公司恢复两个不同结果，居民不知道是哪个机构在欺骗老百姓。希望领导过问解决居民吃饭问题！！！,210102
117,,,,,
118,辽宁省,大连市,中山区,街山街17号楼2单元，从一月份停气，现在到十月份了还是不给挂表通气，导致家里快一年不能做饭，家里有孕妇，不能整天吃外卖，96177和12345都打过很多次，都是上报，没有任何作为，现在真的是没有办法了，不知道这个事谁能给解决，只能找到这里，从停气就一直在打电话，最后都是拖，没有人上门挂表，说是没有工人，不能白干活，找不到乐意来干活的人，那我们怎么办，就只能吃外卖吗？希望领导能帮忙处理一下。,210202
119,辽宁省,大连市,西岗区,九邦大厦从9月22日上午九点开始停供天燃气，已经停供十几天了，至今没有恢复，十一期间依旧居民无法做饭，严重影响生活和假期质量。请政府帮助协调，关切民生困难问题。,210203
120,辽宁省,大连市,沙河口区,机车佳苑业主我投诉华润燃气，华润私自把我天然气停供了，但是我并未欠费，也未欠缴，即使为了安全，也不能在事先不给电话或者短信的通知情况下，停供天然气，而且该规则并不合理，我两个月使用一次天然气就不可以吗，必须强制一个月要使用一次天然气，要不然就给停供，这是什么道理，而且现在拨打96177无人接听，电话微信联系不上，不能恢复天然气，给我造成生活困恼，寻求12345民生热线也并未给予帮助恢复天然气，请求帮助，谢谢,210204
121,,,,,
122,辽宁省,大连市,西岗区,新开路82号九邦大厦8月份停气一周，怎么打电话都不来给检修供气，后来找人打招呼才来修供气。 本月9月22日再次停气，全楼180户居民没有燃气可用，房间为老房子电器容量较小，无法使用电器做饭。只能定外卖，多次打电话扔然没有人来修，保修无效，投诉让等着， 请领导过问，解决老百姓的基本生活问题。,210203
123,,,,,
124,,,,,
125,辽宁省,沈阳市,,华发全运首府，因为开放式厨房不给燃气开栓，很多人购买临时简易门（黏贴就行）用来开栓，开完栓后再把门拆下来，甚至多户人家使用一个临时门，有的楼开栓当日一扇门在同一栋楼里来回借用，这样的开栓是否真正燃气安全？后期出现安全问题谁来负责？这样的政策作用又在哪里？希望有关部门能够明确，要是必须有门那就加强后期监督检查，没门的赶紧停气，太危险。要是不用门那就赶紧改政策，别折腾老百姓，谢谢,210100
126,辽宁省,大连市,,住建局仍然不给解决。以上部门各种互相推诿不给解决问题。,210200
127,,,,,
128,辽宁省,大连市,中山区,住建局然气科不解决居民被华润燃气停供的问题。现在问题依然未解决。从2022年7月25日到9月5日住在辽宁省大连市中山区万家巷127号楼的所有居民的煤气给停供已经被大连华润燃气公司停供四十二天的时间了，在煤气停供以后，到9月5日然气至今还没通气。 在煤气被停供以后，给以前家里没有包括电饭煲、电磁炉等小家电的居民日常生活造成极大不便，同时给被停供煤气的居民造成每天只能外出买饭吃的严重后果。居民每天的每一顿饭只能在外面买饭吃，居民因为买饭吃，每天已经花消几千元现金。 煤气被停供的万家巷127号楼的居民，打电话给大连市住建局公用事业处、和中山区住建局燃气科多次反映煤气和燃气问题，市住建局的公用事业处接到居民电话以后，不解决居民投诉煤气被停供的情况、中山区住建局燃气科的有关人员在两次接到住在中山区万家巷被停供煤气居民两天多次举报反映煤气被停供的问题以后，燃气科有关人员答复居民，会把居民合理诉求向有关领导上报。 被停供煤气的居民要求：1、尽快给煤气被停供的居民提供燃气供应。 2、煤气被停供的居民要求补偿、或者赔偿因为煤气被停供给居民造成的损失。 ,210202
129,,,,,
130,辽宁省,大连市,中山区,金城街34号6**的住户，按照市委市政府的全市天然气置换工作安排，我们家于2022年8月1日，有华润的工作人员上门用原来的煤气管道给我们进行了天然气通气点火（前期按照要求已经进行了新管道打眼入户和新表安装）。8月3日，楼下贴的告示8月3-10日进行天然气新旧管道更换，并于8月3日开始停止供气，停气一直到今天。期间，8月17日我下午五点以后下班回来听楼下的退休阿姨说当天白天华润来给天然气通气，楼下没有贴告示，官方也没有相关的公告，工作人员就这样打一枪换一个地方，再也没找到人，我于8月17日拨打了96177华润燃气的客服电话预约了通气，8月20日、21日、23日、24日，基本每天都拨打电话，96177的客服人员一直都是说给“催一催”，我们家从8月3号停气到现在已经21天了，96177的客服说7个工作日有工作人员给解决，今天有一个39918598的华润燃气的电话打给我说“你们家通气了吗”，我说没通，客服紧接着就说“你们楼有漏气的点，给你转到工程部”，之后把我的电话给挂了，我回味了一下，感觉这通电话明显是糊弄百姓的行为，我就回拨了回去，一直无人接或者接通就直接挂掉，我就是想问问如果我们楼有漏气的，你还来问我通气了是啥意思。 我给华润打电话，相当于没人管，我8月21日打了12345市民热线，工作人员答复我华润没有管他的政府部门，只能等15个工作日，华润给我答复。 啰哩啰嗦了这么多，真是给领导添麻烦了，实在是没有办法了，只能到领导这儿求助了。,210202
131,辽宁省,大连市,西岗区,香海园住户，因天然气改造，我家从2022/08/05停供直到今天08/22仍未通气，而小区内大多数邻居已在十天前复供。08/12上门通气时发现问题：一是挂表未固定，二是漏气，故未通气；对燃气表的情况拍照后，并通知了挂表那边要求处理。后我致电96177说明，答复是已登记，在七个工作日处理。停气接近20天了，仍不知道不要等待多少天！恳请各位领导百忙之中敦促一下有关部门尽快解决我的问题。谢谢了,210203
132,辽宁省,沈阳市,沈河区,东陵路，由CNG加气站路口向北通行的道路（东陵路10号巷），马路中间经常有大量车辆违停，此乱像已长达数年，致该路段经常堵车，交通混乱，出行困难，严重影响市容市貌，望有关部门介入整改。,210103
133,辽宁省,大连市,中山区,宏爱巷3号楼，从8月2日起，全楼停气，至今没有通气，没有人维修，没有人出面回复，家中老人没有电磁炉，根本没法做饭。现在解决不了民生问题，故留言求助。,210202
